time, ir, us
18, 13, 72
30, 13, 72
37, 13, 72
43, 13, 72
54, 13, 72
67, 13, 72
75, 13, 72
81, 13, 72
88, 13, 72
96, 13, 72
105, 13, 72
111, 13, 72
119, 13, 72
129, 13, 72
139, 13, 72
143, 13, 72
155, 13, 72
160, 13, 72
171, 13, 72
178, 13, 72
185, 13, 72
195, 13, 72
215, 13, 72
219, 13, 72
225, 13, 72
232, 13, 72
241, 13, 72
247, 13, 72
253, 13, 72
263, 13, 72
270, 13, 72
277, 13, 72
285, 13, 72
291, 13, 72
303, 13, 72
309, 13, 72
317, 13, 72
321, 13, 72
335, 13, 72
340, 13, 72
347, 13, 72
357, 13, 72
362, 13, 72
370, 13, 72
376, 13, 72
386, 13, 72
399, 13, 72
405, 13, 72
409, 13, 72
417, 13, 72
429, 13, 72
437, 13, 72
445, 13, 72
451, 13, 72
465, 13, 72
475, 13, 72
479, 13, 72
488, 13, 72
496, 13, 72
504, 13, 72
509, 13, 72
522, 13, 72
528, 13, 72
535, 13, 72
543, 13, 72
551, 13, 72
561, 13, 72
569, 13, 72
576, 13, 72
581, 13, 72
589, 13, 72
605, 13, 72
611, 13, 72
617, 13, 72
631, 13, 72
637, 13, 72
645, 13, 72
653, 13, 72
663, 13, 72
668, 13, 72
675, 13, 72
685, 13, 72
693, 13, 72
701, 13, 72
710, 13, 72
717, 13, 72
723, 13, 72
731, 13, 72
741, 13, 72
747, 13, 72
755, 13, 72
767, 13, 72
775, 13, 72
781, 13, 72
789, 13, 72
798, 13, 72
805, 13, 72
815, 13, 72
821, 13, 72
829, 13, 72
838, 13, 72
847, 13, 72
856, 13, 72
867, 13, 72
876, 13, 72
880, 13, 72
890, 13, 72
901, 13, 72
909, 13, 72
915, 13, 72
921, 13, 72
927, 13, 72
936, 13, 72
946, 13, 72
949, 13, 72
957, 13, 72
966, 13, 72
975, 13, 72
983, 13, 72
991, 13, 72
999, 13, 72
1005, 13, 72
1010, 13, 72
1019, 13, 72
1028, 13, 72
1036, 13, 72
1041, 13, 72
1047, 13, 72
1055, 13, 72
1066, 13, 72
1071, 13, 72
1079, 13, 72
1088, 13, 72
1098, 13, 72
1107, 13, 72
1116, 13, 72
1123, 13, 72
1131, 13, 72
1142, 13, 72
1149, 13, 72
1157, 13, 72
1165, 13, 72
1174, 13, 72
1182, 13, 72
1189, 13, 72
1199, 13, 72
1206, 13, 72
1213, 13, 72
1225, 13, 72
1232, 13, 72
1239, 13, 72
1245, 13, 72
1255, 13, 72
1275, 13, 72
1286, 13, 72
1293, 13, 72
1303, 13, 72
1308, 13, 72
1317, 13, 72
1331, 13, 72
1337, 13, 72
1348, 13, 72
1357, 13, 72
1366, 13, 72
1372, 13, 72
1378, 13, 72
1385, 13, 72
1392, 13, 72
1399, 13, 72
1405, 13, 72
1413, 13, 72
1419, 13, 72
1427, 13, 72
1435, 13, 72
1441, 13, 72
1447, 13, 72
1455, 13, 72
1462, 13, 72
1476, 13, 72
1482, 13, 72
1489, 13, 72
1501, 13, 72
1511, 13, 72
1521, 13, 72
1538, 13, 72
1547, 13, 72
1553, 13, 72
1565, 13, 72
1570, 13, 72
1577, 13, 72
1587, 13, 72
1592, 13, 72
1600, 13, 72
1608, 13, 72
1620, 13, 72
1625, 13, 72
1631, 13, 72
1638, 13, 72
1646, 13, 72
1652, 13, 72
1666, 13, 72
1675, 13, 72
1680, 13, 72
1687, 13, 72
1695, 13, 72
1700, 13, 72
1708, 13, 72
1713, 13, 72
1721, 13, 72
1727, 13, 72
1735, 13, 72
1739, 13, 72
1745, 13, 72
1751, 13, 72
1759, 13, 72
1763, 13, 72
1770, 13, 72
1775, 13, 72
1783, 13, 72
1789, 13, 72
1795, 13, 72
1801, 13, 72
1809, 13, 72
1815, 13, 72
1821, 13, 72
1827, 13, 72
1834, 13, 72
1839, 13, 72
1846, 13, 72
1852, 13, 72
1860, 13, 72
1865, 13, 72
1871, 13, 72
1878, 13, 72
1885, 13, 72
1890, 13, 72
1897, 13, 72
1902, 13, 72
1911, 13, 72
1919, 13, 72
1925, 13, 72
1930, 13, 72
1936, 13, 72
1945, 13, 72
1949, 13, 72
1955, 13, 72
1961, 13, 72
1967, 13, 72
1975, 13, 72
1980, 13, 72
1988, 13, 72
1993, 13, 72
1999, 13, 72
2006, 13, 72
2012, 13, 72
2017, 13, 72
2025, 13, 72
2029, 13, 72
2039, 13, 72
2044, 13, 72
2049, 13, 72
2057, 13, 72
2068, 13, 72
2075, 13, 72
2079, 13, 72
2087, 13, 72
2093, 13, 72
2099, 13, 72
2106, 13, 72
2113, 13, 72
2119, 13, 72
2124, 13, 72
2129, 13, 72
2137, 13, 72
2145, 13, 72
2151, 13, 72
2157, 13, 72
2161, 13, 72
2169, 13, 72
2175, 13, 72
2181, 13, 72
2187, 13, 72
2195, 13, 72
2201, 13, 72
2208, 13, 72
2212, 13, 72
2221, 13, 72
2225, 13, 72
2233, 13, 72
2238, 13, 72
2245, 13, 72
2249, 13, 72
2256, 13, 72
2261, 13, 72
2270, 13, 72
2278, 13, 72
2283, 13, 72
2289, 13, 72
2295, 13, 72
2302, 13, 72
2309, 13, 72
2315, 13, 72
2324, 13, 72
2330, 13, 72
2336, 13, 72
2342, 13, 72
2348, 13, 72
2353, 13, 72
2361, 13, 72
2368, 13, 72
2373, 13, 72
2379, 13, 72
2386, 13, 72
2391, 13, 72
2398, 13, 72
2406, 13, 72
2410, 13, 72
2419, 13, 72
2423, 13, 72
2430, 13, 72
2437, 13, 72
2442, 13, 72
2447, 13, 72
2455, 13, 72
2460, 13, 72
2475, 13, 72
2480, 13, 72
2486, 13, 72
2495, 13, 72
2499, 13, 72
2506, 13, 72
2512, 13, 72
2518, 13, 72
2526, 13, 72
2533, 13, 72
2538, 13, 72
2544, 13, 72
2551, 13, 72
2558, 13, 72
2565, 13, 72
2571, 13, 72
2577, 13, 72
2585, 13, 72
2591, 13, 72
2596, 13, 72
2603, 13, 72
2609, 13, 72
2615, 13, 72
2620, 13, 72
2628, 13, 72
2636, 13, 72
2641, 13, 72
2647, 13, 72
2655, 13, 72
2661, 13, 72
2666, 13, 72
2673, 13, 72
2678, 13, 72
2683, 13, 72
2691, 13, 72
2699, 13, 72
2705, 13, 72
2710, 13, 72
2716, 13, 72
2725, 13, 72
2730, 13, 72
2736, 13, 72
2742, 13, 72
2748, 13, 72
2753, 13, 72
2760, 13, 72
2767, 13, 72
2771, 13, 72
2780, 13, 72
2786, 13, 72
2792, 13, 72
2801, 13, 72
2806, 13, 72
2811, 13, 72
2817, 13, 72
2827, 13, 72
2831, 13, 72
2838, 13, 72
2843, 13, 72
2850, 13, 72
2859, 13, 72
2868, 13, 72
2873, 13, 72
2880, 13, 72
2886, 13, 72
2895, 13, 72
2900, 13, 72
2905, 13, 72
2910, 13, 72
2917, 13, 72
2922, 13, 72
2931, 13, 72
2938, 13, 72
2943, 13, 72
2949, 13, 72
2956, 13, 72
2961, 13, 72
2969, 13, 72
2974, 13, 72
2980, 13, 72
2987, 13, 72
2995, 13, 72
3001, 13, 72
3007, 13, 72
3015, 13, 72
3021, 13, 72
3025, 13, 72
3035, 13, 72
3039, 13, 72
3043, 13, 72
3051, 13, 74
3057, 13, 74
3063, 13, 74
3071, 13, 74
3075, 13, 74
3083, 13, 74
3089, 13, 74
3095, 13, 74
3103, 13, 74
3109, 13, 74
3116, 13, 74
3121, 13, 74
3128, 13, 74
3136, 13, 74
3141, 13, 74
3148, 13, 74
3155, 13, 67
3160, 13, 67
3166, 13, 67
3172, 13, 67
3182, 13, 74
3189, 13, 74
3193, 13, 74
3200, 13, 72
3205, 13, 72
3211, 13, 72
3217, 13, 76
3223, 13, 76
3231, 13, 76
3238, 13, 76
3245, 13, 76
3252, 13, 76
3258, 13, 76
3270, 13, 78
3276, 13, 78
3285, 13, 78
3290, 13, 78
3296, 13, 78
3305, 14, 78
3311, 14, 78
3317, 14, 78
3321, 14, 78
3330, 14, 77
3337, 14, 77
3341, 14, 77
3348, 14, 77
3355, 14, 77
3361, 14, 77
3368, 14, 82
3375, 14, 82
3379, 14, 82
3387, 14, 86
3392, 14, 86
3399, 14, 86
3405, 15, 86
3410, 15, 82
3417, 15, 82
3421, 15, 82
3428, 15, 84
3436, 15, 84
3440, 15, 84
3448, 15, 84
3454, 15, 84
3461, 15, 84
3467, 15, 84
3474, 15, 91
3483, 15, 91
3489, 15, 91
3495, 15, 86
3503, 15, 86
3509, 16, 86
3515, 16, 86
3521, 16, 86
3527, 16, 86
3532, 16, 93
3541, 16, 93
3547, 16, 93
3553, 16, 93
3559, 16, 95
3565, 16, 95
3569, 16, 95
3577, 16, 94
3585, 16, 94
3591, 16, 94
3597, 16, 94
3603, 16, 94
3609, 17, 94
3616, 17, 99
3621, 17, 99
3628, 17, 99
3633, 17, 99
3640, 17, 99
3651, 17, 99
3664, 18, 101
3676, 18, 101
3685, 18, 103
3691, 18, 103
3698, 18, 103
3708, 19, 103
3716, 19, 103
3723, 19, 103
3729, 19, 103
3737, 19, 103
3745, 19, 107
3753, 19, 107
3759, 19, 107
3765, 20, 109
3773, 20, 109
3779, 20, 109
3785, 20, 114
3795, 20, 114
3800, 20, 114
3807, 20, 112
3813, 21, 112
3819, 21, 112
3829, 21, 118
3834, 21, 118
3843, 21, 118
3849, 21, 118
3857, 21, 120
3863, 21, 120
3868, 21, 120
3877, 21, 120
3882, 21, 120
3890, 21, 120
3898, 21, 122
3905, 21, 122
3912, 21, 122
3919, 22, 121
3924, 22, 121
3933, 22, 121
3943, 22, 121
3953, 22, 121
3959, 22, 126
3966, 22, 126
3975, 23, 126
3981, 23, 126
3987, 23, 126
3997, 23, 126
4002, 23, 126
4015, 23, 128
4020, 24, 128
4027, 24, 130
4033, 24, 130
4041, 24, 130
4049, 24, 130
4057, 24, 130
4062, 24, 130
4075, 24, 130
4081, 24, 130
4087, 24, 130
4093, 24, 130
