us, ir
510, 428.472
510, 428.472
510, 428.472
510, 428.472
510, 440.0
510, 440.0
510, 440.0
510, 440.0
510, 440.0
510, 440.0
510, 440.0
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 451.672
510, 463.488
510, 463.488
510, 463.488
510, 463.488
510, 463.488
510, 463.488
510, 463.488
510, 475.448
510, 475.448
510, 475.448
510, 475.448
510, 475.448
510, 475.448
510, 475.448
510, 475.448
510, 475.448
510, 475.448
510, 475.448
510, 475.448
483, 475.448
483, 475.448
483, 475.448
483, 475.448
483, 475.448
483, 475.448
483, 475.448
483, 475.448
483, 475.448
483, 475.448
483, 463.488
483, 463.488
483, 463.488
452, 463.488
452, 463.488
452, 463.488
452, 463.488
452, 463.488
452, 463.488
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 451.672
452, 440.0
397, 440.0
397, 440.0
397, 440.0
428, 440.0
428, 440.0
428, 440.0
428, 440.0
446, 440.0
446, 440.0
416, 440.0
416, 440.0
416, 440.0
412, 440.0
412, 440.0
403, 440.0
403, 440.0
403, 440.0
403, 440.0
403, 428.472
403, 428.472
403, 428.472
403, 428.472
403, 428.472
403, 428.472
403, 428.472
403, 428.472
403, 428.472
411, 428.472
411, 428.472
411, 428.472
429, 428.472
429, 428.472
429, 428.472
429, 428.472
509, 428.472
509, 428.472
509, 428.472
509, 428.472
437, 428.472
437, 428.472
437, 428.472
420, 428.472
420, 428.472
420, 428.472
427, 428.472
427, 428.472
427, 428.472
427, 428.472
427, 428.472
427, 428.472
427, 417.0879999999999
418, 417.0879999999999
418, 417.0879999999999
418, 417.0879999999999
408, 417.0879999999999
408, 417.0879999999999
408, 417.0879999999999
408, 417.0879999999999
401, 417.0879999999999
401, 417.0879999999999
401, 417.0879999999999
401, 417.0879999999999
429, 417.0879999999999
429, 417.0879999999999
406, 405.848
406, 405.848
406, 405.848
462, 405.848
462, 405.848
462, 405.848
460, 405.848
460, 394.7519999999999
460, 394.7519999999999
460, 394.7519999999999
460, 394.7519999999999
460, 394.7519999999999
460, 394.7519999999999
460, 394.7519999999999
460, 394.7519999999999
460, 394.7519999999999
460, 394.7519999999999
460, 394.7519999999999
401, 394.7519999999999
401, 394.7519999999999
401, 394.7519999999999
401, 394.7519999999999
384, 394.7519999999999
384, 394.7519999999999
384, 394.7519999999999
365, 394.7519999999999
366, 394.7519999999999
366, 383.8
366, 383.8
366, 383.8
355, 383.8
355, 383.8
376, 383.8
376, 383.8
376, 372.992
475, 372.992
475, 372.992
475, 372.992
475, 372.992
372, 372.992
372, 372.992
372, 362.328
372, 362.328
362, 362.328
362, 362.328
362, 362.328
357, 362.328
357, 362.328
357, 362.328
357, 362.328
372, 362.328
372, 362.328
372, 362.328
372, 362.328
370, 362.328
370, 351.808
370, 351.808
370, 351.808
357, 351.808
357, 351.808
357, 351.808
357, 351.808
383, 351.808
383, 351.808
357, 351.808
357, 351.808
357, 351.808
357, 351.808
357, 351.808
357, 351.808
357, 351.808
357, 351.808
357, 351.808
357, 351.808
338, 351.808
338, 351.808
338, 351.808
338, 341.432
340, 341.432
340, 341.432
340, 341.432
349, 341.432
349, 341.432
349, 341.432
349, 341.432
340, 341.432
340, 341.432
340, 341.432
340, 341.432
348, 341.432
348, 341.432
348, 341.432
348, 341.432
408, 341.432
408, 331.2
408, 331.2
408, 331.2
425, 331.2
425, 331.2
425, 331.2
425, 331.2
329, 331.2
329, 331.2
329, 331.2
329, 331.2
340, 331.2
340, 331.2
340, 331.2
340, 331.2
340, 331.2
399, 331.2
399, 331.2
399, 321.112
399, 321.112
399, 321.112
399, 321.112
399, 321.112
399, 321.112
334, 321.112
334, 321.112
334, 321.112
330, 321.112
330, 321.112
330, 321.112
334, 321.112
334, 321.112
334, 321.112
334, 321.112
334, 321.112
443, 321.112
443, 321.112
443, 321.112
443, 321.112
448, 321.112
448, 321.112
448, 321.112
448, 321.112
357, 321.112
357, 321.112
357, 321.112
357, 321.112
336, 321.112
336, 321.112
336, 321.112
336, 321.112
334, 321.112
334, 321.112
334, 321.112
334, 321.112
334, 321.112
326, 321.112
326, 321.112
326, 321.112
326, 321.112
353, 321.112
353, 321.112
353, 321.112
353, 321.112
357, 321.112
357, 321.112
357, 321.112
357, 321.112
336, 321.112
336, 321.112
336, 321.112
336, 321.112
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
330, 311.168
345, 311.168
345, 321.112
345, 321.112
412, 321.112
412, 321.112
416, 321.112
416, 321.112
416, 321.112
416, 321.112
340, 321.112
340, 321.112
340, 321.112
326, 321.112
326, 321.112
326, 321.112
326, 321.112
326, 321.112
326, 321.112
326, 321.112
321, 321.112
321, 321.112
321, 321.112
321, 321.112
321, 321.112
321, 321.112
321, 321.112
321, 321.112
321, 321.112
321, 321.112
321, 321.112
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
321, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 311.168
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
321, 301.368
321, 301.368
321, 301.368
321, 301.368
321, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 282.2
326, 282.2
329, 282.2
329, 282.2
329, 282.2
328, 282.2
328, 272.832
328, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
329, 311.168
329, 311.168
329, 311.168
329, 311.168
336, 311.168
336, 311.168
336, 311.168
357, 311.168
357, 372.992
357, 372.992
328, 372.992
328, 372.992
328, 372.992
420, 372.992
420, 417.0879999999999
420, 417.0879999999999
420, 417.0879999999999
420, 417.0879999999999
420, 417.0879999999999
420, 417.0879999999999
420, 417.0879999999999
420, 417.0879999999999
420, 417.0879999999999
420, 417.0879999999999
420, 463.488
420, 463.488
420, 463.488
420, 463.488
420, 463.488
420, 463.488
420, 463.488
420, 463.488
420, 487.5520000000001
420, 487.5520000000001
420, 487.5520000000001
420, 487.5520000000001
420, 487.5520000000001
420, 487.5520000000001
420, 487.5520000000001
420, 524.728
420, 524.728
420, 524.728
420, 524.728
420, 524.728
420, 524.728
420, 524.728
534, 524.728
534, 589.568
534, 589.568
525, 589.568
525, 589.568
525, 589.568
525, 589.568
582, 589.568
582, 616.512
582, 616.512
569, 616.512
569, 616.512
569, 616.512
569, 616.512
517, 616.512
517, 616.512
517, 644.032
517, 644.032
515, 644.032
515, 644.032
515, 644.032
527, 644.032
527, 644.032
527, 589.568
527, 589.568
527, 589.568
527, 589.568
527, 589.568
527, 589.568
527, 589.568
527, 589.568
527, 512.192
527, 512.192
555, 512.192
555, 512.192
555, 512.192
555, 512.192
555, 512.192
555, 451.672
555, 451.672
555, 451.672
555, 451.672
555, 451.672
555, 451.672
555, 451.672
555, 451.672
555, 487.5520000000001
555, 487.5520000000001
555, 487.5520000000001
555, 487.5520000000001
555, 487.5520000000001
555, 487.5520000000001
555, 487.5520000000001
555, 487.5520000000001
555, 524.728
607, 524.728
607, 524.728
607, 524.728
607, 524.728
607, 524.728
607, 524.728
607, 524.728
607, 487.5520000000001
607, 487.5520000000001
607, 487.5520000000001
607, 487.5520000000001
607, 487.5520000000001
607, 487.5520000000001
607, 487.5520000000001
607, 417.0879999999999
607, 417.0879999999999
607, 417.0879999999999
607, 417.0879999999999
607, 417.0879999999999
607, 417.0879999999999
607, 417.0879999999999
607, 417.0879999999999
607, 351.808
607, 351.808
607, 351.808
607, 351.808
607, 351.808
607, 351.808
607, 351.808
607, 301.368
2550, 301.368
2550, 301.368
2550, 301.368
2550, 301.368
2550, 301.368
2550, 301.368
2550, 301.368
2550, 301.368
2550, 291.712
2550, 291.712
2550, 291.712
2550, 291.712
2550, 291.712
2550, 291.712
2550, 291.712
2550, 291.712
2550, 236.8
2550, 236.8
2550, 236.8
2550, 236.8
2550, 236.8
2550, 236.8
2550, 236.8
326, 236.8
326, 236.8
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 291.712
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 301.368
326, 291.712
321, 291.712
321, 291.712
321, 291.712
321, 291.712
321, 291.712
321, 291.712
321, 291.712
321, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 272.832
326, 282.2
326, 282.2
326, 282.2
326, 282.2
326, 282.2
326, 282.2
326, 282.2
326, 282.2
326, 282.2
326, 341.432
326, 341.432
326, 341.432
326, 341.432
326, 341.432
326, 341.432
326, 341.432
326, 341.432
326, 341.432
326, 463.488
326, 463.488
326, 463.488
326, 463.488
326, 463.488
326, 463.488
2550, 463.488
2550, 463.488
2550, 805.688
2550, 805.688
2550, 805.688
2550, 805.688
2550, 805.688
2550, 805.688
2550, 805.688
2550, 805.688
2550, 805.688
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
1593, 1200.0
1593, 1200.0
1593, 1200.0
1593, 1200.0
1573, 1200.0
1573, 1200.0
1573, 1200.0
1550, 1200.0
1550, 1200.0
1550, 1200.0
1535, 1200.0
1535, 1200.0
1535, 1200.0
1535, 1200.0
1521, 1200.0
1521, 1200.0
1521, 1200.0
1521, 1200.0
1521, 1200.0
1521, 1200.0
1521, 1200.0
1521, 1200.0
1521, 1200.0
1521, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
2550, 1200.0
1480, 1200.0
1480, 1200.0
1480, 1200.0
1480, 1200.0
1460, 1200.0
1460, 1200.0
1460, 1200.0
1460, 1200.0
1460, 1200.0
1444, 1200.0
1444, 1200.0
1444, 1200.0
1444, 1200.0
1426, 1200.0
1426, 1200.0
1426, 1200.0
1426, 1200.0
1426, 1200.0
1414, 1200.0
1414, 1200.0
1414, 1200.0
1406, 1200.0
1406, 1200.0
1406, 1200.0
1406, 1200.0
1389, 1200.0
1389, 1200.0
1389, 1200.0
1389, 1200.0
1389, 1200.0
1381, 1200.0
1381, 1200.0
1381, 1200.0
1372, 1200.0
1372, 1200.0
1372, 1200.0
1372, 1200.0
1372, 1200.0
1368, 1200.0
1368, 1200.0
1368, 1200.0
1368, 1200.0
1358, 1200.0
1358, 1200.0
1358, 1200.0
1358, 1200.0
1358, 1200.0
1349, 1200.0
1349, 1200.0
1349, 1200.0
1349, 1200.0
1337, 1200.0
1337, 1200.0
1337, 1200.0
1337, 1200.0
1326, 1200.0
1326, 1200.0
1326, 1200.0
1326, 1200.0
1326, 1200.0
1326, 1200.0
1326, 1200.0
1326, 1200.0
1326, 1200.0
1326, 1200.0
1326, 1200.0
1301, 1200.0
1301, 1200.0
1301, 1200.0
1301, 1200.0
1290, 1200.0
1290, 1200.0
1290, 1200.0
1290, 1200.0
1290, 1200.0
1281, 1200.0
1281, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1273, 1200.0
1254, 1200.0
1254, 1200.0
1254, 1200.0
1254, 1200.0
1246, 1200.0
1246, 1200.0
1246, 1200.0
1246, 1200.0
1244, 1200.0
1244, 1200.0
1244, 1200.0
1244, 1200.0
1236, 1200.0
1236, 1200.0
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1236, 1162.688
1217, 1162.688
1217, 1162.688
1217, 1162.688
1217, 1162.688
1206, 1162.688
1206, 1107.8
1206, 1107.8
1206, 1107.8
1206, 1107.8
1198, 1107.8
1198, 1107.8
1198, 1107.8
1198, 1107.8
1187, 1107.8
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1144.248
1187, 1107.8
1187, 1107.8
1187, 1107.8
