time, us_right, us_left
255, 736, 644
289, 736, 680
322, 736, 680
360, 736, 689
391, 794, 689
436, 758, 744
478, 891, 744
503, 891, 885
551, 891, 764
586, 855, 885
630, 835, 883
672, 826, 893
707, 804, 893
744, 964, 855
772, 972, 865
802, 947, 901
852, 939, 911
882, 937, 921
913, 923, 961
940, 921, 978
968, 913, 978
996, 2550, 2550
1022, 2550, 2550
1059, 2550, 2550
1082, 2550, 2550
1108, 2550, 2550
1132, 2550, 2550
1162, 2550, 2550
1195, 2550, 2550
1245, 1898, 2550
1295, 2550, 2550
1332, 2550, 2550
1382, 2550, 2550
1434, 2550, 2550
1472, 1497, 2550
1536, 2550, 2550
1585, 2550, 2550
1638, 2550, 2550
1695, 1488, 2550
1724, 1497, 1418
1759, 1482, 2550
1790, 2550, 2550
1838, 2550, 2550
1889, 2550, 2550
1931, 2550, 2550
1966, 2550, 2550
2000, 2550, 2550
2042, 2550, 2550
2074, 2550, 2550
2105, 2550, 2550
2137, 2550, 2550
2169, 2550, 2550
2202, 2550, 2550
2240, 2550, 2550
2275, 2550, 2550
2308, 2550, 2550
2340, 2550, 2550
2376, 2550, 2550
2405, 2550, 2550
2435, 2550, 2550
2466, 2550, 2550
2503, 2550, 2550
2533, 2550, 2550
2568, 2550, 2550
2604, 2550, 2550
2636, 2550, 2550
2665, 2550, 2550
2693, 2550, 2550
2728, 2550, 2550
2762, 2550, 2550
2794, 2550, 2550
2822, 2550, 2550
2865, 2550, 2550
2897, 2550, 2550
2924, 2550, 2550
2956, 2550, 2550
2990, 2550, 2550
3026, 2550, 2550
3065, 1147, 2550
3101, 2550, 2550
3132, 2550, 2550
3165, 2550, 2550
3201, 2550, 2550
3244, 2550, 2550
3281, 2550, 2550
3320, 2550, 2550
3352, 2550, 2550
3398, 848, 2550
3438, 849, 2550
3477, 847, 1942
3513, 812, 895
3543, 796, 899
3588, 765, 877
3628, 833, 778
3665, 833, 804
3697, 833, 856
3732, 833, 817
3776, 324, 853
3807, 326, 848
3856, 326, 839
3891, 326, 839
3930, 326, 839
3967, 326, 326
4006, 843, 326
4067, 843, 321
4114, 326, 326
4156, 326, 321
4195, 326, 326
4236, 326, 326
4297, 326, 326
4330, 326, 326
4368, 326, 326
4402, 326, 326
4456, 326, 326
4497, 326, 326
4541, 326, 326
4585, 326, 326
4626, 326, 326
4666, 326, 326
4702, 326, 326
4736, 326, 326
4778, 326, 326
4835, 326, 326
4890, 326, 326
4926, 326, 326
4976, 326, 326
5015, 326, 326
5052, 326, 326
5079, 326, 326
5106, 326, 326
5137, 326, 324
5176, 326, 326
5211, 326, 326
5266, 326, 326
5332, 326, 326
5380, 326, 326
5413, 321, 321
5456, 249, 834
5511, 281, 833
5562, 257, 833
5622, 249, 326
5686, 321, 326
5738, 326, 326
5778, 326, 833
5821, 326, 825
5863, 326, 818
5910, 326, 353
5945, 326, 365
5985, 326, 393
6015, 326, 393
6055, 326, 328
6092, 326, 328
6128, 326, 328
6178, 326, 456
6211, 326, 812
6247, 863, 822
6283, 855, 834
6316, 847, 834
6355, 831, 835
6390, 831, 835
6426, 326, 877
6476, 241, 2550
6515, 251, 2550
6565, 225, 1189
6622, 237, 1044
6672, 228, 2550
6712, 228, 1246
6745, 249, 2550
6778, 249, 326
6818, 322, 281
6860, 259, 326
6892, 271, 326
6930, 166, 326
6963, 166, 251
6998, 273, 257
7040, 273, 280
7071, 273, 321
7102, 273, 326
